[[0.542, 0.8632], [0.8884, 0.0375], [0.2755, 0.6449], [0.212, 0.2087], [0.0425, 0.1797], [0.6036, 0.0067], [0.7834, 0.4936], [0.6592, 0.3061], [0.732, 0.8065], [0.6373, 0.6263]]
[[0.9739, 0.7413], [0.4878, 0.1613], [0.4358, 0.2604], [0.6225, 0.6441], [0.2475, 0.0422], [0.0433, 0.9432], [0.8283, 0.0726], [0.8647, 0.9644], [0.975, 0.8007], [0.3762, 0.4567]]
[[0.4478, 0.6062], [0.2795, 0.68], [0.4463, 0.2517], [0.2832, 0.3673], [0.0777, 0.7834], [0.4591, 0.5404], [0.8631, 0.022], [0.0277, 0.4838], [0.0045, 0.3021], [0.8225, 0.8425]]
[[0.2957, 0.2389], [0.3054, 0.006], [0.6961, 0.9858], [0.9606, 0.734], [0.9532, 0.553], [0.8006, 0.0864], [0.6629, 0.3449], [0.1049, 0.9468], [0.6186, 0.8756], [0.6751, 0.1742]]
[[0.8027, 0.2357], [0.5863, 0.6838], [0.4417, 0.9137], [0.8432, 0.1887], [0.8315, 0.5527], [0.9135, 0.3486], [0.5817, 0.7688], [0.1388, 0.0358], [0.0997, 0.0022], [0.4661, 0.4248]]
[[0.713, 0.6504], [0.9047, 0.1044], [0.0109, 0.3583], [0.0312, 0.3668], [0.5906, 0.4705], [0.7353, 0.2409], [0.0677, 0.0905], [0.5963, 0.0956], [0.8647, 0.6518], [0.4072, 0.1859]]
[[0.1136, 0.0954], [0.2149, 0.2022], [0.5986, 0.2177], [0.0207, 0.6109], [0.0891, 0.9956], [0.8732, 0.2909], [0.4659, 0.6109], [0.8125, 0.1425], [0.3198, 0.7428], [0.7679, 0.7936]]
[[0.2905, 0.765], [0.7501, 0.2676], [0.1671, 0.3479], [0.3168, 0.2244], [0.9898, 0.3177], [0.1871, 0.3217], [0.1389, 0.8503], [0.6514, 0.9807], [0.2955, 0.1966], [0.5887, 0.1368]]
[[0.352, 0.5319], [0.0212, 0.8961], [0.2168, 0.7813], [0.2728, 0.1109], [0.8467, 0.8801], [0.5902, 0.7672], [0.7524, 0.7751], [0.8061, 0.3185], [0.2879, 0.649], [0.9063, 0.6882]]
[[0.0009, 0.1588], [0.1981, 0.3276], [0.6655, 0.4669], [0.4526, 0.6825], [0.0894, 0.5896], [0.4837, 0.6879], [0.7598, 0.6219], [0.082, 0.4901], [0.2842, 0.7461], [0.0725, 0.4486]]
[[0.8916, 0.6182], [0.9521, 0.8072], [0.2185, 0.9839], [0.6835, 0.4481], [0.4459, 0.4511], [0.1991, 0.0189], [0.1254, 0.5238], [0.7231, 0.8137], [0.0442, 0.3918], [0.4733, 0.504]]
[[0.0113, 0.9061], [0.1218, 0.8325], [0.4838, 0.7013], [0.5863, 0.7267], [0.1488, 0.0953], [0.2487, 0.5587], [0.0693, 0.393], [0.4266, 0.3064], [0.8979, 0.3785], [0.5667, 0.2272]]
[[0.4747, 0.0367], [0.4432, 0.1355], [0.2938, 0.7242], [0.6273, 0.6794], [0.3422, 0.7303], [0.7006, 0.8896], [0.1687, 0.6713], [0.8877, 0.6982], [0.5078, 0.7169], [0.9637, 0.5319]]
[[0.9122, 0.613], [0.651, 0.3819], [0.4858, 0.5502], [0.1304, 0.6619], [0.6471, 0.8179], [0.4681, 0.5983], [0.5974, 0.087], [0.0275, 0.0486], [0.9432, 0.0713], [0.1964, 0.4123]]
[[0.2232, 0.8526], [0.3804, 0.9383], [0.9929, 0.6497], [0.6242, 0.856], [0.4725, 0.566], [0.5454, 0.1228], [0.2025, 0.6169], [0.9407, 0.8393], [0.3369, 0.9943], [0.5827, 0.9122]]
[[0.6401, 0.3995], [0.9768, 0.2204], [0.4131, 0.9826], [0.7598, 0.4973], [0.0884, 0.0582], [0.8182, 0.8626], [0.8215, 0.9015], [0.768, 0.2551], [0.9655, 0.007], [0.9262, 0.0129]]
[[0.3258, 0.8311], [0.0655, 0.5425], [0.327, 0.9423], [0.1414, 0.4383], [0.4409, 0.6067], [0.8557, 0.8739], [0.9226, 0.2421], [0.2497, 0.5208], [0.9948, 0.5373], [0.0053, 0.5843]]
[[0.2619, 0.9414], [0.1972, 0.6364], [0.0259, 0.0554], [0.8665, 0.438], [0.1582, 0.7679], [0.3136, 0.6098], [0.0234, 0.3246], [0.8258, 0.1593], [0.7512, 0.8921], [0.6628, 0.9518]]
[[0.1072, 0.7937], [0.9848, 0.5807], [0.4395, 0.6846], [0.8395, 0.2005], [0.0802, 0.2418], [0.7755, 0.993], [0.7709, 0.0182], [0.7035, 0.5332], [0.9552, 0.1351], [0.4556, 0.9225]]
[[0.9393, 0.9698], [0.7153, 0.4941], [0.1788, 0.7004], [0.0637, 0.5186], [0.8561, 0.4689], [0.5722, 0.8429], [0.5447, 0.9132], [0.4659, 0.516], [0.3206, 0.6982], [0.1957, 0.0225]]
