  (Steiner Minimal Tree:  10 points,  length = 2.266089443306271,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.401826940336333,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.242482453791381,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.422921560170920,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.822481379469783,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.872095192605449,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.414806577418888,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.988204160345746,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.085639026261374,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.445253094837998,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.263591486173373,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.122111741244977,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.754192519066544,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.414334762068092,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.972265807639894,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.243202797626048,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.992945865095853,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.340174462527312,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.609149124230155,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.212889245410036,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.086495763676352,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.142637110369755,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.771023997280699,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.037417037222537,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.414540955170610,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.944108021808688,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.850727422240432,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.607348044404148,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.975604202492279,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.379994324959250,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.498170777721051,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.352482852737309,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.809085677291113,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.231032741714595,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.069968314957524,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.153683889285739,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.022495799189270,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.840574159918770,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.828265307337046,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.778815395953482,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.168742953501870,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.313041560131576,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.065894698735079,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.021531274623343,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.444343252478369,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.733776125515283,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.771270717923499,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.806953623051942,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.993542576717820,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.984856106667342,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.910514305791530,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.960957007967351,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.286712928411473,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.933580759025218,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.244946586419553,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.924183872019146,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.786728198535375,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.373099582186183,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.453778986033955,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.989119708697045,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.869413308191631,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.029897269095761,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.181888413264958,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.693012108271414,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.150538574278772,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.704527764757035,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.986079777839892,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.792441812353752,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.936123988537111,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.028543505522757,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.497317676347697,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.325766757441775,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.603478499491859,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.217905545433523,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.017040477383694,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.298645039244418,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.954087701094816,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.015172758794872,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.978996294117285,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.600283342450023,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.154644525376530,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.845661484724344,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.974923993720875,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.860179015975226,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.935238602881733,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.128861622562968,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.687739206485641,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.138944371488848,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.697375764196321,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.923825641926089,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.055784899320761,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.892961991996556,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.772804571595478,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.004967652257210,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.173790022440516,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.075625104543905,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.792335782803503,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.989799665905013,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.182073976460243,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.252672887630634,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.289321705245593,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.035330527159494,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.721537106542649,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.555785188508791,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.107190848428053,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.134286417986152,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.109837939767914,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.656251696088536,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.098882713976668,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.974467243858555,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.666835611510819,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.724285414237548,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.257326496040835,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.301785249662847,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.851882810408257,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.869956385236065,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.246534700996867,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.869002154252443,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.848235639379331,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.945800561464408,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.165086124221160,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.242918773925528,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.852115160859906,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.892034337196085,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.485597660620125,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.316627436802165,  0.02 seconds)
